playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
suzukic01,2025,BBWAA,394,296,393,Y,NA,NA
sabatcc01,2025,BBWAA,394,296,342,Y,NA,NA
wagnebi02,2025,BBWAA,394,296,325,Y,NA,NA
beltrca01,2025,BBWAA,394,296,277,N,NA,NA
jonesan01,2025,BBWAA,394,296,261,N,NA,NA
utleych01,2025,BBWAA,394,296,157,N,NA,NA
rodrial01,2025,BBWAA,394,296,146,N,NA,NA
ramirma02,2025,BBWAA,394,296,135,N,NA,NA
pettian01,2025,BBWAA,394,296,110,N,NA,NA
hernafe02,2025,BBWAA,394,296,81,N,NA,NA
abreubo01,2025,BBWAA,394,296,77,N,NA,NA
rolliji01,2025,BBWAA,394,296,71,N,NA,NA
vizquom01,2025,BBWAA,394,296,70,N,NA,NA
pedrodu01,2025,BBWAA,394,296,47,N,NA,NA
buehrma01,2025,BBWAA,394,296,45,N,NA,NA
rodrifr04,2025,BBWAA,394,296,40,N,NA,NA
rodrifr03,2025,BBWAA,394,296,40,N,NA,NA
wrighda03,2025,BBWAA,394,296,32,N,NA,NA
hunteto01,2025,BBWAA,394,296,20,N,NA,NA
kinslia01,2025,BBWAA,394,296,10,N,NA,NA
martiru01,2025,BBWAA,394,296,9,N,NA,NA
mccanbr01,2025,BBWAA,394,296,7,N,NA,NA
tulowtr01,2025,BBWAA,394,296,4,N,NA,NA
jonesad01,2025,BBWAA,394,296,3,N,NA,NA
grandcu01,2025,BBWAA,394,296,3,N,NA,NA
gonzaca01,2025,BBWAA,394,296,2,N,NA,NA
zobribe01,2025,BBWAA,394,296,0,N,NA,NA
rodnefe01,2025,BBWAA,394,296,0,N,NA,NA
ramirha01,2025,BBWAA,394,296,0,N,NA,NA
